     JDTDB;            Calendar Date (TDB);X;Y;Z
2464644.5; A.D. 2035-Nov-13 00:00:00.0000;0.637138527;0.757451215;-6.57478E-05
2464644.583; A.D. 2035-Nov-13 02:00:00.0000;0.636017579;0.758367334;-6.57808E-05
2464644.667; A.D. 2035-Nov-13 04:00:00.0000;0.634895293;0.759281849;-6.58145E-05
2464644.75; A.D. 2035-Nov-13 06:00:00.0000;0.633771674;0.760194758;-6.58487E-05
2464644.833; A.D. 2035-Nov-13 08:00:00.0000;0.632646723;0.76110606;-6.58836E-05
2464644.917; A.D. 2035-Nov-13 10:00:00.0000;0.631520442;0.762015753;-6.59192E-05
2464645; A.D. 2035-Nov-13 12:00:00.0000;0.630392833;0.762923836;-6.59555E-05
2464645.083; A.D. 2035-Nov-13 14:00:00.0000;0.6292639;0.763830305;-6.59924E-05
2464645.167; A.D. 2035-Nov-13 16:00:00.0000;0.628133643;0.76473516;-6.603E-05
2464645.25; A.D. 2035-Nov-13 18:00:00.0000;0.627002066;0.765638399;-6.60684E-05
2464645.333; A.D. 2035-Nov-13 20:00:00.0000;0.625869171;0.76654002;-6.61075E-05
2464645.417; A.D. 2035-Nov-13 22:00:00.0000;0.624734959;0.767440021;-6.61473E-05
2464645.5; A.D. 2035-Nov-14 00:00:00.0000;0.623599433;0.768338401;-6.6188E-05
2464645.583; A.D. 2035-Nov-14 02:00:00.0000;0.622462595;0.769235157;-6.62293E-05
2464645.667; A.D. 2035-Nov-14 04:00:00.0000;0.621324448;0.770130289;-6.62715E-05
2464645.75; A.D. 2035-Nov-14 06:00:00.0000;0.620184994;0.771023793;-6.63145E-05
2464645.833; A.D. 2035-Nov-14 08:00:00.0000;0.619044234;0.771915669;-6.63583E-05
2464645.917; A.D. 2035-Nov-14 10:00:00.0000;0.617902172;0.772805914;-6.6403E-05
2464646; A.D. 2035-Nov-14 12:00:00.0000;0.616758808;0.773694528;-6.64484E-05
2464646.083; A.D. 2035-Nov-14 14:00:00.0000;0.615614147;0.774581508;-6.64948E-05
2464646.167; A.D. 2035-Nov-14 16:00:00.0000;0.614468189;0.775466852;-6.6542E-05
2464646.25; A.D. 2035-Nov-14 18:00:00.0000;0.613320938;0.776350558;-6.65901E-05
2464646.333; A.D. 2035-Nov-14 20:00:00.0000;0.612172394;0.777232626;-6.6639E-05
