JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2464644.5; A.D. 2035-Nov-13 00:00:00.0000;1.25980477;0.672072528;-0.016780329;-0.006054627;0.013542962;0.000432241
2464644.583; A.D. 2035-Nov-13 02:00:00.0000;1.259299774;0.67320087;-0.016744303;-0.006065293;0.013537266;0.000432383
2464644.667; A.D. 2035-Nov-13 04:00:00.0000;1.258793888;0.674328738;-0.016708265;-0.006075953;0.013531563;0.000432525
2464644.75; A.D. 2035-Nov-13 06:00:00.0000;1.258287115;0.675456131;-0.016672216;-0.006086607;0.01352585;0.000432666
2464644.833; A.D. 2035-Nov-13 08:00:00.0000;1.257779454;0.676583047;-0.016636154;-0.006097254;0.013520129;0.000432807
2464644.917; A.D. 2035-Nov-13 10:00:00.0000;1.257270906;0.677709485;-0.016600081;-0.006107895;0.0135144;0.000432947
2464645; A.D. 2035-Nov-13 12:00:00.0000;1.256761472;0.678835446;-0.016563996;-0.00611853;0.013508662;0.000433088
2464645.083; A.D. 2035-Nov-13 14:00:00.0000;1.256251151;0.679960929;-0.0165279;-0.006129159;0.013502916;0.000433228
2464645.167; A.D. 2035-Nov-13 16:00:00.0000;1.255739945;0.681085932;-0.016491792;-0.006139782;0.013497161;0.000433367
2464645.25; A.D. 2035-Nov-13 18:00:00.0000;1.255227854;0.682210455;-0.016455672;-0.006150398;0.013491398;0.000433507
2464645.333; A.D. 2035-Nov-13 20:00:00.0000;1.254714879;0.683334498;-0.016419541;-0.006161008;0.013485626;0.000433645
2464645.417; A.D. 2035-Nov-13 22:00:00.0000;1.25420102;0.68445806;-0.016383398;-0.006171612;0.013479846;0.000433784
2464645.5; A.D. 2035-Nov-14 00:00:00.0000;1.253686277;0.685581139;-0.016347243;-0.006182209;0.013474057;0.000433922
2464645.583; A.D. 2035-Nov-14 02:00:00.0000;1.253170652;0.686703736;-0.016311077;-0.0061928;0.01346826;0.00043406
2464645.667; A.D. 2035-Nov-14 04:00:00.0000;1.252654144;0.687825849;-0.0162749;-0.006203385;0.013462455;0.000434198
2464645.75; A.D. 2035-Nov-14 06:00:00.0000;1.252136755;0.688947478;-0.016238711;-0.006213964;0.013456641;0.000434335
2464645.833; A.D. 2035-Nov-14 08:00:00.0000;1.251618484;0.690068622;-0.016202511;-0.006224536;0.013450819;0.000434472
2464645.917; A.D. 2035-Nov-14 10:00:00.0000;1.251099332;0.691189281;-0.016166299;-0.006235103;0.013444988;0.000434609
2464646; A.D. 2035-Nov-14 12:00:00.0000;1.2505793;0.692309453;-0.016130076;-0.006245662;0.013439149;0.000434745
2464646.083; A.D. 2035-Nov-14 14:00:00.0000;1.250058388;0.693429139;-0.016093842;-0.006256216;0.013433301;0.000434881
2464646.167; A.D. 2035-Nov-14 16:00:00.0000;1.249536598;0.694548336;-0.016057596;-0.006266763;0.013427445;0.000435017
2464646.25; A.D. 2035-Nov-14 18:00:00.0000;1.249013928;0.695667046;-0.016021339;-0.006277304;0.013421581;0.000435152
2464646.333; A.D. 2035-Nov-14 20:00:00.0000;1.24849038;0.696785266;-0.01598507;-0.006287838;0.013415708;0.000435287
2464646.417; A.D. 2035-Nov-14 22:00:00.0000;1.247965955;0.697902997;-0.015948791;-0.006298366;0.013409827;0.000435422
2464646.5; A.D. 2035-Nov-15 00:00:00.0000;1.247440653;0.699020237;-0.0159125;-0.006308888;0.013403938;0.000435556
2464646.583; A.D. 2035-Nov-15 02:00:00.0000;1.246914474;0.700136986;-0.015876198;-0.006319403;0.01339804;0.00043569
2464646.667; A.D. 2035-Nov-15 04:00:00.0000;1.246387419;0.701253244;-0.015839885;-0.006329913;0.013392134;0.000435824
2464646.75; A.D. 2035-Nov-15 06:00:00.0000;1.245859489;0.702369008;-0.015803561;-0.006340415;0.01338622;0.000435957
2464646.833; A.D. 2035-Nov-15 08:00:00.0000;1.245330683;0.70348428;-0.015767226;-0.006350912;0.013380297;0.00043609
2464646.917; A.D. 2035-Nov-15 10:00:00.0000;1.244801004;0.704599058;-0.015730879;-0.006361402;0.013374366;0.000436223
2464647; A.D. 2035-Nov-15 12:00:00.0000;1.24427045;0.705713341;-0.015694522;-0.006371885;0.013368427;0.000436355
2464647.083; A.D. 2035-Nov-15 14:00:00.0000;1.243739023;0.706827129;-0.015658153;-0.006382362;0.013362479;0.000436487
2464647.167; A.D. 2035-Nov-15 16:00:00.0000;1.243206723;0.70794042;-0.015621774;-0.006392833;0.013356523;0.000436619
2464647.25; A.D. 2035-Nov-15 18:00:00.0000;1.242673551;0.709053215;-0.015585383;-0.006403297;0.013350559;0.00043675
2464647.333; A.D. 2035-Nov-15 20:00:00.0000;1.242139507;0.710165513;-0.015548982;-0.006413755;0.013344586;0.000436881
2464647.417; A.D. 2035-Nov-15 22:00:00.0000;1.241604592;0.711277313;-0.01551257;-0.006424207;0.013338606;0.000437012
2464647.5; A.D. 2035-Nov-16 00:00:00.0000;1.241068806;0.712388614;-0.015476147;-0.006434652;0.013332617;0.000437142
2464647.583; A.D. 2035-Nov-16 02:00:00.0000;1.24053215;0.713499416;-0.015439713;-0.006445091;0.01332662;0.000437272
2464647.667; A.D. 2035-Nov-16 04:00:00.0000;1.239994625;0.714609717;-0.015403268;-0.006455523;0.013320614;0.000437402
2464647.75; A.D. 2035-Nov-16 06:00:00.0000;1.23945623;0.715719518;-0.015366813;-0.006465949;0.0133146;0.000437532
2464647.833; A.D. 2035-Nov-16 08:00:00.0000;1.238916967;0.716828817;-0.015330346;-0.006476368;0.013308578;0.000437661
2464647.917; A.D. 2035-Nov-16 10:00:00.0000;1.238376835;0.717937614;-0.015293869;-0.006486781;0.013302548;0.000437789
2464648; A.D. 2035-Nov-16 12:00:00.0000;1.237835837;0.719045908;-0.015257381;-0.006497187;0.01329651;0.000437918
2464648.083; A.D. 2035-Nov-16 14:00:00.0000;1.237293971;0.720153699;-0.015220883;-0.006507587;0.013290463;0.000438046
2464648.167; A.D. 2035-Nov-16 16:00:00.0000;1.236751239;0.721260985;-0.015184374;-0.006517981;0.013284409;0.000438173
2464648.25; A.D. 2035-Nov-16 18:00:00.0000;1.236207641;0.722367766;-0.015147854;-0.006528368;0.013278346;0.000438301
2464648.333; A.D. 2035-Nov-16 20:00:00.0000;1.235663178;0.723474042;-0.015111324;-0.006538748;0.013272275;0.000438428
2464648.417; A.D. 2035-Nov-16 22:00:00.0000;1.23511785;0.724579812;-0.015074783;-0.006549122;0.013266196;0.000438555
2464648.5; A.D. 2035-Nov-17 00:00:00.0000;1.234571658;0.725685075;-0.015038231;-0.00655949;0.013260108;0.000438681
2464648.583; A.D. 2035-Nov-17 02:00:00.0000;1.234024602;0.72678983;-0.015001669;-0.006569851;0.013254013;0.000438807
2464648.667; A.D. 2035-Nov-17 04:00:00.0000;1.233476683;0.727894077;-0.014965097;-0.006580206;0.013247909;0.000438933
2464648.75; A.D. 2035-Nov-17 06:00:00.0000;1.232927901;0.728997814;-0.014928514;-0.006590553;0.013241797;0.000439058
2464648.833; A.D. 2035-Nov-17 08:00:00.0000;1.232378257;0.730101043;-0.01489192;-0.006600895;0.013235677;0.000439183
2464648.917; A.D. 2035-Nov-17 10:00:00.0000;1.231827752;0.73120376;-0.014855316;-0.00661123;0.013229549;0.000439308
2464649; A.D. 2035-Nov-17 12:00:00.0000;1.231276386;0.732305967;-0.014818702;-0.006621558;0.013223413;0.000439433
2464649.083; A.D. 2035-Nov-17 14:00:00.0000;1.230724159;0.733407662;-0.014782078;-0.00663188;0.013217269;0.000439557
2464649.167; A.D. 2035-Nov-17 16:00:00.0000;1.230171073;0.734508845;-0.014745443;-0.006642195;0.013211116;0.00043968
2464649.25; A.D. 2035-Nov-17 18:00:00.0000;1.229617127;0.735609515;-0.014708798;-0.006652504;0.013204956;0.000439804
2464649.333; A.D. 2035-Nov-17 20:00:00.0000;1.229062322;0.736709671;-0.014672142;-0.006662806;0.013198787;0.000439927
2464649.417; A.D. 2035-Nov-17 22:00:00.0000;1.228506659;0.737809312;-0.014635476;-0.006673102;0.013192611;0.00044005
2464649.5; A.D. 2035-Nov-18 00:00:00.0000;1.227950139;0.738908439;-0.014598801;-0.006683391;0.013186426;0.000440172
2464649.583; A.D. 2035-Nov-18 02:00:00.0000;1.227392761;0.74000705;-0.014562114;-0.006693673;0.013180233;0.000440294
2464649.667; A.D. 2035-Nov-18 04:00:00.0000;1.226834527;0.741105144;-0.014525418;-0.006703949;0.013174033;0.000440416
2464649.75; A.D. 2035-Nov-18 06:00:00.0000;1.226275436;0.742202722;-0.014488712;-0.006714218;0.013167824;0.000440537
2464649.833; A.D. 2035-Nov-18 08:00:00.0000;1.22571549;0.743299781;-0.014451995;-0.006724481;0.013161607;0.000440659
2464649.917; A.D. 2035-Nov-18 10:00:00.0000;1.225154689;0.744396323;-0.014415269;-0.006734737;0.013155382;0.000440779
2464650; A.D. 2035-Nov-18 12:00:00.0000;1.224593034;0.745492345;-0.014378532;-0.006744987;0.013149149;0.0004409
2464650.083; A.D. 2035-Nov-18 14:00:00.0000;1.224030525;0.746587847;-0.014341785;-0.006755229;0.013142908;0.00044102
2464650.167; A.D. 2035-Nov-18 16:00:00.0000;1.223467163;0.747682829;-0.014305029;-0.006765466;0.01313666;0.00044114
2464650.25; A.D. 2035-Nov-18 18:00:00.0000;1.222902948;0.74877729;-0.014268262;-0.006775695;0.013130403;0.000441259
2464650.333; A.D. 2035-Nov-18 20:00:00.0000;1.222337881;0.74987123;-0.014231486;-0.006785918;0.013124138;0.000441378
2464650.417; A.D. 2035-Nov-18 22:00:00.0000;1.221771962;0.750964647;-0.014194699;-0.006796134;0.013117865;0.000441497
2464650.5; A.D. 2035-Nov-19 00:00:00.0000;1.221205192;0.75205754;-0.014157903;-0.006806344;0.013111584;0.000441616
2464650.583; A.D. 2035-Nov-19 02:00:00.0000;1.220637571;0.75314991;-0.014121096;-0.006816547;0.013105296;0.000441734
2464650.667; A.D. 2035-Nov-19 04:00:00.0000;1.220069101;0.754241756;-0.01408428;-0.006826743;0.013098999;0.000441852
2464650.75; A.D. 2035-Nov-19 06:00:00.0000;1.219499781;0.755333077;-0.014047455;-0.006836933;0.013092694;0.000441969
2464650.833; A.D. 2035-Nov-19 08:00:00.0000;1.218929612;0.756423872;-0.014010619;-0.006847116;0.013086382;0.000442086
2464650.917; A.D. 2035-Nov-19 10:00:00.0000;1.218358595;0.75751414;-0.013973774;-0.006857292;0.013080062;0.000442203
2464651; A.D. 2035-Nov-19 12:00:00.0000;1.21778673;0.758603882;-0.013936918;-0.006867462;0.013073733;0.00044232
2464651.083; A.D. 2035-Nov-19 14:00:00.0000;1.217214018;0.759693095;-0.013900054;-0.006877625;0.013067397;0.000442436
2464651.167; A.D. 2035-Nov-19 16:00:00.0000;1.21664046;0.760781781;-0.013863179;-0.006887781;0.013061053;0.000442552
2464651.25; A.D. 2035-Nov-19 18:00:00.0000;1.216066055;0.761869937;-0.013826295;-0.006897931;0.013054701;0.000442667
2464651.333; A.D. 2035-Nov-19 20:00:00.0000;1.215490805;0.762957564;-0.013789401;-0.006908073;0.013048341;0.000442782
2464651.417; A.D. 2035-Nov-19 22:00:00.0000;1.214914709;0.764044661;-0.013752498;-0.00691821;0.013041973;0.000442897
2464651.5; A.D. 2035-Nov-20 00:00:00.0000;1.21433777;0.765131226;-0.013715585;-0.006928339;0.013035597;0.000443012
2464651.583; A.D. 2035-Nov-20 02:00:00.0000;1.213759986;0.76621726;-0.013678663;-0.006938462;0.013029214;0.000443126
2464651.667; A.D. 2035-Nov-20 04:00:00.0000;1.21318136;0.767302762;-0.013641731;-0.006948578;0.013022823;0.00044324
2464651.75; A.D. 2035-Nov-20 06:00:00.0000;1.21260189;0.76838773;-0.013604789;-0.006958687;0.013016423;0.000443353
2464651.833; A.D. 2035-Nov-20 08:00:00.0000;1.212021579;0.769472165;-0.013567839;-0.006968789;0.013010016;0.000443467
2464651.917; A.D. 2035-Nov-20 10:00:00.0000;1.211440426;0.770556066;-0.013530878;-0.006978885;0.013003602;0.000443579
2464652; A.D. 2035-Nov-20 12:00:00.0000;1.210858432;0.771639432;-0.013493909;-0.006988974;0.012997179;0.000443692
2464652.083; A.D. 2035-Nov-20 14:00:00.0000;1.210275597;0.772722262;-0.01345693;-0.006999056;0.012990748;0.000443804
2464652.167; A.D. 2035-Nov-20 16:00:00.0000;1.209691922;0.773804556;-0.013419941;-0.007009132;0.01298431;0.000443916
2464652.25; A.D. 2035-Nov-20 18:00:00.0000;1.209107408;0.774886314;-0.013382944;-0.0070192;0.012977864;0.000444028
2464652.333; A.D. 2035-Nov-20 20:00:00.0000;1.208522056;0.775967534;-0.013345937;-0.007029262;0.01297141;0.000444139
2464652.417; A.D. 2035-Nov-20 22:00:00.0000;1.207935865;0.777048215;-0.013308921;-0.007039317;0.012964949;0.00044425
2464652.5; A.D. 2035-Nov-21 00:00:00.0000;1.207348836;0.778128358;-0.013271895;-0.007049366;0.012958479;0.00044436
2464652.583; A.D. 2035-Nov-21 02:00:00.0000;1.206760971;0.779207962;-0.013234861;-0.007059407;0.012952002;0.000444471
2464652.667; A.D. 2035-Nov-21 04:00:00.0000;1.206172269;0.780287025;-0.013197817;-0.007069442;0.012945517;0.00044458
2464652.75; A.D. 2035-Nov-21 06:00:00.0000;1.205582731;0.781365548;-0.013160764;-0.00707947;0.012939025;0.00044469
2464652.833; A.D. 2035-Nov-21 08:00:00.0000;1.204992357;0.782443529;-0.013123702;-0.007089491;0.012932524;0.000444799
2464652.917; A.D. 2035-Nov-21 10:00:00.0000;1.204401149;0.783520968;-0.013086631;-0.007099505;0.012926016;0.000444908
2464653; A.D. 2035-Nov-21 12:00:00.0000;1.203809107;0.784597865;-0.01304955;-0.007109512;0.012919501;0.000445017
2464653.083; A.D. 2035-Nov-21 14:00:00.0000;1.203216231;0.785674218;-0.013012461;-0.007119513;0.012912977;0.000445125
2464653.167; A.D. 2035-Nov-21 16:00:00.0000;1.202622521;0.786750027;-0.012975363;-0.007129507;0.012906446;0.000445233
2464653.25; A.D. 2035-Nov-21 18:00:00.0000;1.20202798;0.787825292;-0.012938256;-0.007139494;0.012899907;0.000445341
2464653.333; A.D. 2035-Nov-21 20:00:00.0000;1.201432606;0.788900012;-0.012901139;-0.007149474;0.01289336;0.000445448
2464653.417; A.D. 2035-Nov-21 22:00:00.0000;1.200836401;0.789974185;-0.012864014;-0.007159447;0.012886806;0.000445555
2464653.5; A.D. 2035-Nov-22 00:00:00.0000;1.200239365;0.791047812;-0.01282688;-0.007169414;0.012880244;0.000445662
2464653.583; A.D. 2035-Nov-22 02:00:00.0000;1.199641499;0.792120892;-0.012789737;-0.007179373;0.012873675;0.000445768
2464653.667; A.D. 2035-Nov-22 04:00:00.0000;1.199042803;0.793193425;-0.012752586;-0.007189326;0.012867098;0.000445874
2464653.75; A.D. 2035-Nov-22 06:00:00.0000;1.198443278;0.794265408;-0.012715425;-0.007199272;0.012860513;0.000445979
2464653.833; A.D. 2035-Nov-22 08:00:00.0000;1.197842924;0.795336843;-0.012678256;-0.007209211;0.01285392;0.000446085
2464653.917; A.D. 2035-Nov-22 10:00:00.0000;1.197241743;0.796407728;-0.012641078;-0.007219143;0.01284732;0.00044619
2464654; A.D. 2035-Nov-22 12:00:00.0000;1.196639734;0.797478063;-0.012603891;-0.007229068;0.012840713;0.000446294
2464654.083; A.D. 2035-Nov-22 14:00:00.0000;1.196036899;0.798547847;-0.012566695;-0.007238986;0.012834097;0.000446399
2464654.167; A.D. 2035-Nov-22 16:00:00.0000;1.195433237;0.799617079;-0.012529491;-0.007248897;0.012827474;0.000446503
2464654.25; A.D. 2035-Nov-22 18:00:00.0000;1.194828749;0.800685759;-0.012492278;-0.007258802;0.012820844;0.000446606
2464654.333; A.D. 2035-Nov-22 20:00:00.0000;1.194223437;0.801753886;-0.012455057;-0.007268699;0.012814206;0.00044671
2464654.417; A.D. 2035-Nov-22 22:00:00.0000;1.1936173;0.80282146;-0.012417827;-0.00727859;0.01280756;0.000446813
2464654.5; A.D. 2035-Nov-23 00:00:00.0000;1.193010339;0.803888479;-0.012380588;-0.007288474;0.012800907;0.000446915
2464654.583; A.D. 2035-Nov-23 02:00:00.0000;1.192402554;0.804954944;-0.012343341;-0.00729835;0.012794246;0.000447018
2464654.667; A.D. 2035-Nov-23 04:00:00.0000;1.191793947;0.806020853;-0.012306085;-0.00730822;0.012787578;0.00044712
2464654.75; A.D. 2035-Nov-23 06:00:00.0000;1.191184518;0.807086207;-0.012268821;-0.007318083;0.012780902;0.000447222
2464654.833; A.D. 2035-Nov-23 08:00:00.0000;1.190574267;0.808151004;-0.012231548;-0.007327939;0.012774218;0.000447323
2464654.917; A.D. 2035-Nov-23 10:00:00.0000;1.189963195;0.809215243;-0.012194267;-0.007337788;0.012767528;0.000447424
2464655; A.D. 2035-Nov-23 12:00:00.0000;1.189351302;0.810278925;-0.012156977;-0.00734763;0.012760829;0.000447525
2464655.083; A.D. 2035-Nov-23 14:00:00.0000;1.18873859;0.811342048;-0.012119679;-0.007357465;0.012754123;0.000447625
2464655.167; A.D. 2035-Nov-23 16:00:00.0000;1.188125058;0.812404612;-0.012082373;-0.007367293;0.01274741;0.000447725
2464655.25; A.D. 2035-Nov-23 18:00:00.0000;1.187510708;0.813466616;-0.012045059;-0.007377114;0.012740689;0.000447825
2464655.333; A.D. 2035-Nov-23 20:00:00.0000;1.186895539;0.814528059;-0.012007736;-0.007386929;0.01273396;0.000447924
2464655.417; A.D. 2035-Nov-23 22:00:00.0000;1.186279553;0.815588942;-0.011970405;-0.007396736;0.012727225;0.000448023
2464655.5; A.D. 2035-Nov-24 00:00:00.0000;1.18566275;0.816649263;-0.011933065;-0.007406536;0.012720481;0.000448122
2464655.583; A.D. 2035-Nov-24 02:00:00.0000;1.185045131;0.817709022;-0.011895718;-0.007416329;0.01271373;0.00044822
2464655.667; A.D. 2035-Nov-24 04:00:00.0000;1.184426695;0.818768218;-0.011858362;-0.007426115;0.012706972;0.000448319
