JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2464644.5; A.D. 2035-Nov-13 00:00:00.0000;-0.282040985;-0.35697788;-0.003316722;0.016374765;-0.016133675;-0.002820165
2464644.583; A.D. 2035-Nov-13 02:00:00.0000;-0.280673351;-0.358318456;-0.003551699;0.016448388;-0.016040089;-0.002819266
2464644.667; A.D. 2035-Nov-13 04:00:00.0000;-0.2792996;-0.359651223;-0.003786598;0.016521551;-0.015946283;-0.002818307
2464644.75; A.D. 2035-Nov-13 06:00:00.0000;-0.277919771;-0.360976163;-0.004021415;0.016594255;-0.015852258;-0.002817288
2464644.833; A.D. 2035-Nov-13 08:00:00.0000;-0.276533903;-0.36229326;-0.004256144;0.016666501;-0.015758016;-0.00281621
2464644.917; A.D. 2035-Nov-13 10:00:00.0000;-0.275142034;-0.363602493;-0.004490781;0.016738289;-0.015663558;-0.002815072
2464645; A.D. 2035-Nov-13 12:00:00.0000;-0.273744201;-0.364903847;-0.004725321;0.016809619;-0.015568886;-0.002813874
2464645.083; A.D. 2035-Nov-13 14:00:00.0000;-0.272340444;-0.366197302;-0.004959759;0.016880491;-0.015474001;-0.002812617
2464645.167; A.D. 2035-Nov-13 16:00:00.0000;-0.270930799;-0.367482841;-0.005194089;0.016950907;-0.015378905;-0.002811301
2464645.25; A.D. 2035-Nov-13 18:00:00.0000;-0.269515305;-0.368760447;-0.005428307;0.017020867;-0.0152836;-0.002809926
2464645.333; A.D. 2035-Nov-13 20:00:00.0000;-0.268094;-0.370030102;-0.005662408;0.017090371;-0.015188087;-0.002808492
2464645.417; A.D. 2035-Nov-13 22:00:00.0000;-0.266666922;-0.371291789;-0.005896388;0.017159419;-0.015092368;-0.002806999
2464645.5; A.D. 2035-Nov-14 00:00:00.0000;-0.26523411;-0.372545491;-0.00613024;0.017228013;-0.014996443;-0.002805449
2464645.583; A.D. 2035-Nov-14 02:00:00.0000;-0.2637956;-0.37379119;-0.006363961;0.017296152;-0.014900316;-0.002803839
2464645.667; A.D. 2035-Nov-14 04:00:00.0000;-0.26235143;-0.375028871;-0.006597545;0.017363836;-0.014803986;-0.002802172
2464645.75; A.D. 2035-Nov-14 06:00:00.0000;-0.26090164;-0.376258516;-0.006830988;0.017431067;-0.014707456;-0.002800447
2464645.833; A.D. 2035-Nov-14 08:00:00.0000;-0.259446265;-0.377480108;-0.007064284;0.017497845;-0.014610727;-0.002798663
2464645.917; A.D. 2035-Nov-14 10:00:00.0000;-0.257985345;-0.378693632;-0.00729743;0.017564169;-0.0145138;-0.002796822
2464646; A.D. 2035-Nov-14 12:00:00.0000;-0.256518916;-0.37989907;-0.00753042;0.017630041;-0.014416678;-0.002794924
2464646.083; A.D. 2035-Nov-14 14:00:00.0000;-0.255047017;-0.381096406;-0.007763249;0.017695461;-0.014319361;-0.002792968
2464646.167; A.D. 2035-Nov-14 16:00:00.0000;-0.253569685;-0.382285624;-0.007995913;0.017760429;-0.01422185;-0.002790955
2464646.25; A.D. 2035-Nov-14 18:00:00.0000;-0.252086958;-0.383466709;-0.008228407;0.017824946;-0.014124148;-0.002788885
2464646.333; A.D. 2035-Nov-14 20:00:00.0000;-0.250598873;-0.384639644;-0.008460726;0.017889012;-0.014026255;-0.002786758
2464646.417; A.D. 2035-Nov-14 22:00:00.0000;-0.249105469;-0.385804413;-0.008692865;0.017952627;-0.013928173;-0.002784574
2464646.5; A.D. 2035-Nov-15 00:00:00.0000;-0.247606781;-0.386961001;-0.00892482;0.018015792;-0.013829904;-0.002782334
2464646.583; A.D. 2035-Nov-15 02:00:00.0000;-0.246102849;-0.388109392;-0.009156586;0.018078507;-0.013731448;-0.002780037
2464646.667; A.D. 2035-Nov-15 04:00:00.0000;-0.244593709;-0.38924957;-0.009388158;0.018140773;-0.013632808;-0.002777684
2464646.75; A.D. 2035-Nov-15 06:00:00.0000;-0.243079399;-0.390381521;-0.009619531;0.018202589;-0.013533983;-0.002775275
2464646.833; A.D. 2035-Nov-15 08:00:00.0000;-0.241559957;-0.391505229;-0.009850702;0.018263957;-0.013434977;-0.002772809
2464646.917; A.D. 2035-Nov-15 10:00:00.0000;-0.240035419;-0.392620679;-0.010081665;0.018324876;-0.013335789;-0.002770288
2464647; A.D. 2035-Nov-15 12:00:00.0000;-0.238505823;-0.393727856;-0.010312415;0.018385347;-0.013236422;-0.002767711
2464647.083; A.D. 2035-Nov-15 14:00:00.0000;-0.236971207;-0.394826744;-0.010542948;0.018445371;-0.013136876;-0.002765078
2464647.167; A.D. 2035-Nov-15 16:00:00.0000;-0.235431607;-0.39591733;-0.01077326;0.018504946;-0.013037154;-0.00276239
2464647.25; A.D. 2035-Nov-15 18:00:00.0000;-0.233887062;-0.396999598;-0.011003345;0.018564075;-0.012937255;-0.002759646
2464647.333; A.D. 2035-Nov-15 20:00:00.0000;-0.232337607;-0.398073534;-0.011233199;0.018622757;-0.012837182;-0.002756847
2464647.417; A.D. 2035-Nov-15 22:00:00.0000;-0.230783281;-0.399139124;-0.011462818;0.018680993;-0.012736936;-0.002753993
2464647.5; A.D. 2035-Nov-16 00:00:00.0000;-0.229224121;-0.400196352;-0.011692197;0.018738782;-0.012636518;-0.002751085
2464647.583; A.D. 2035-Nov-16 02:00:00.0000;-0.227660163;-0.401245205;-0.011921331;0.018796126;-0.012535929;-0.002748121
2464647.667; A.D. 2035-Nov-16 04:00:00.0000;-0.226091445;-0.402285669;-0.012150215;0.018853024;-0.012435171;-0.002745102
2464647.75; A.D. 2035-Nov-16 06:00:00.0000;-0.224518005;-0.403317729;-0.012378846;0.018909477;-0.012334244;-0.002742029
2464647.833; A.D. 2035-Nov-16 08:00:00.0000;-0.222939878;-0.404341372;-0.012607219;0.018965485;-0.012233151;-0.002738902
2464647.917; A.D. 2035-Nov-16 10:00:00.0000;-0.221357103;-0.405356583;-0.012835328;0.019021048;-0.012131891;-0.00273572
2464648; A.D. 2035-Nov-16 12:00:00.0000;-0.219769716;-0.406363349;-0.013063171;0.019076166;-0.012030467;-0.002732484
2464648.083; A.D. 2035-Nov-16 14:00:00.0000;-0.218177754;-0.407361656;-0.013290741;0.019130841;-0.011928879;-0.002729194
2464648.167; A.D. 2035-Nov-16 16:00:00.0000;-0.216581255;-0.408351491;-0.013518035;0.019185072;-0.011827129;-0.00272585
2464648.25; A.D. 2035-Nov-16 18:00:00.0000;-0.214980255;-0.40933284;-0.013745048;0.019238859;-0.011725218;-0.002722452
2464648.333; A.D. 2035-Nov-16 20:00:00.0000;-0.213374791;-0.41030569;-0.013971775;0.019292203;-0.011623147;-0.002719
2464648.417; A.D. 2035-Nov-16 22:00:00.0000;-0.2117649;-0.411270027;-0.014198213;0.019345104;-0.011520918;-0.002715495
2464648.5; A.D. 2035-Nov-17 00:00:00.0000;-0.210150619;-0.412225838;-0.014424356;0.019397561;-0.01141853;-0.002711936
2464648.583; A.D. 2035-Nov-17 02:00:00.0000;-0.208531985;-0.413173111;-0.014650201;0.019449577;-0.011315986;-0.002708324
2464648.667; A.D. 2035-Nov-17 04:00:00.0000;-0.206909035;-0.414111832;-0.014875742;0.01950115;-0.011213287;-0.002704659
2464648.75; A.D. 2035-Nov-17 06:00:00.0000;-0.205281806;-0.415041988;-0.015100976;0.01955228;-0.011110434;-0.00270094
2464648.833; A.D. 2035-Nov-17 08:00:00.0000;-0.203650334;-0.415963566;-0.015325898;0.019602969;-0.011007428;-0.002697169
2464648.917; A.D. 2035-Nov-17 10:00:00.0000;-0.202014657;-0.416876555;-0.015550503;0.019653216;-0.010904269;-0.002693344
2464649; A.D. 2035-Nov-17 12:00:00.0000;-0.20037481;-0.41778094;-0.015774787;0.019703022;-0.01080096;-0.002689467
2464649.083; A.D. 2035-Nov-17 14:00:00.0000;-0.198730832;-0.418676711;-0.015998746;0.019752386;-0.010697501;-0.002685537
2464649.167; A.D. 2035-Nov-17 16:00:00.0000;-0.197082758;-0.419563853;-0.016222375;0.019801309;-0.010593893;-0.002681555
2464649.25; A.D. 2035-Nov-17 18:00:00.0000;-0.195430626;-0.420442356;-0.01644567;0.019849791;-0.010490138;-0.00267752
2464649.333; A.D. 2035-Nov-17 20:00:00.0000;-0.193774472;-0.421312205;-0.016668627;0.019897833;-0.010386236;-0.002673432
2464649.417; A.D. 2035-Nov-17 22:00:00.0000;-0.192114333;-0.422173391;-0.016891241;0.019945434;-0.010282189;-0.002669292
2464649.5; A.D. 2035-Nov-18 00:00:00.0000;-0.190450245;-0.4230259;-0.017113507;0.019992594;-0.010177998;-0.0026651
2464649.583; A.D. 2035-Nov-18 02:00:00.0000;-0.188782246;-0.42386972;-0.017335422;0.020039315;-0.010073663;-0.002660856
