JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2464644.5; A.D. 2035-Nov-13 00:00:00.0000;0.24085364;-0.686424778;-0.023345774;0.018949845;0.006628591;-0.001002025
2464644.583; A.D. 2035-Nov-13 02:00:00.0000;0.242432151;-0.685870566;-0.023429214;0.018934389;0.006672476;-0.001000529
2464644.667; A.D. 2035-Nov-13 04:00:00.0000;0.244009369;-0.6853127;-0.023512529;0.018918834;0.006716323;-0.000999028
2464644.75; A.D. 2035-Nov-13 06:00:00.0000;0.245585287;-0.68475118;-0.023595718;0.018903177;0.006760135;-0.000997522
2464644.833; A.D. 2035-Nov-13 08:00:00.0000;0.247159896;-0.684186011;-0.023678782;0.018887421;0.006803909;-0.00099601
2464644.917; A.D. 2035-Nov-13 10:00:00.0000;0.248733188;-0.683617196;-0.02376172;0.018871564;0.006847647;-0.000994493
2464645; A.D. 2035-Nov-13 12:00:00.0000;0.250305154;-0.683044738;-0.023844531;0.018855606;0.006891347;-0.000992971
2464645.083; A.D. 2035-Nov-13 14:00:00.0000;0.251875786;-0.682468639;-0.023927215;0.018839549;0.00693501;-0.000991443
2464645.167; A.D. 2035-Nov-13 16:00:00.0000;0.253445076;-0.681888904;-0.024009771;0.018823391;0.006978635;-0.00098991
2464645.25; A.D. 2035-Nov-13 18:00:00.0000;0.255013015;-0.681305535;-0.0240922;0.018807133;0.007022223;-0.000988372
2464645.333; A.D. 2035-Nov-13 20:00:00.0000;0.256579595;-0.680718535;-0.0241745;0.018790775;0.007065772;-0.000986829
2464645.417; A.D. 2035-Nov-13 22:00:00.0000;0.258144808;-0.680127907;-0.024256671;0.018774318;0.007109282;-0.000985281
2464645.5; A.D. 2035-Nov-14 00:00:00.0000;0.259708645;-0.679533655;-0.024338713;0.01875776;0.007152754;-0.000983727
2464645.583; A.D. 2035-Nov-14 02:00:00.0000;0.261271099;-0.678935782;-0.024420625;0.018741103;0.007196188;-0.000982168
2464645.667; A.D. 2035-Nov-14 04:00:00.0000;0.26283216;-0.678334292;-0.024502408;0.018724346;0.007239582;-0.000980604
2464645.75; A.D. 2035-Nov-14 06:00:00.0000;0.26439182;-0.677729187;-0.024584059;0.01870749;0.007282937;-0.000979034
2464645.833; A.D. 2035-Nov-14 08:00:00.0000;0.265950072;-0.67712047;-0.02466558;0.018690535;0.007326252;-0.00097746
2464645.917; A.D. 2035-Nov-14 10:00:00.0000;0.267506907;-0.676508146;-0.024746969;0.01867348;0.007369528;-0.00097588
2464646; A.D. 2035-Nov-14 12:00:00.0000;0.269062316;-0.675892217;-0.024828226;0.018656326;0.007412764;-0.000974295
2464646.083; A.D. 2035-Nov-14 14:00:00.0000;0.270616292;-0.675272686;-0.024909351;0.018639072;0.007455959;-0.000972705
2464646.167; A.D. 2035-Nov-14 16:00:00.0000;0.272168825;-0.674649558;-0.024990344;0.01862172;0.007499114;-0.00097111
2464646.25; A.D. 2035-Nov-14 18:00:00.0000;0.273719909;-0.674022835;-0.025071203;0.018604269;0.007542229;-0.000969509
2464646.333; A.D. 2035-Nov-14 20:00:00.0000;0.275269534;-0.673392521;-0.025151928;0.018586719;0.007585302;-0.000967904
2464646.417; A.D. 2035-Nov-14 22:00:00.0000;0.276817693;-0.672758619;-0.02523252;0.01856907;0.007628335;-0.000966293
2464646.5; A.D. 2035-Nov-15 00:00:00.0000;0.278364376;-0.672121133;-0.025312977;0.018551323;0.007671326;-0.000964677
2464646.583; A.D. 2035-Nov-15 02:00:00.0000;0.279909577;-0.671480066;-0.025393299;0.018533476;0.007714276;-0.000963057
2464646.667; A.D. 2035-Nov-15 04:00:00.0000;0.281453286;-0.670835421;-0.025473486;0.018515532;0.007757184;-0.000961431
2464646.75; A.D. 2035-Nov-15 06:00:00.0000;0.282995496;-0.670187203;-0.025553538;0.018497489;0.00780005;-0.0009598
2464646.833; A.D. 2035-Nov-15 08:00:00.0000;0.284536198;-0.669535414;-0.025633453;0.018479348;0.007842874;-0.000958163
2464646.917; A.D. 2035-Nov-15 10:00:00.0000;0.286075385;-0.668880059;-0.025713231;0.018461109;0.007885655;-0.000956522
2464647; A.D. 2035-Nov-15 12:00:00.0000;0.287613047;-0.668221139;-0.025792873;0.018442771;0.007928394;-0.000954876
2464647.083; A.D. 2035-Nov-15 14:00:00.0000;0.289149177;-0.667558661;-0.025872377;0.018424336;0.00797109;-0.000953224
2464647.167; A.D. 2035-Nov-15 16:00:00.0000;0.290683767;-0.666892626;-0.025951744;0.018405802;0.008013743;-0.000951568
2464647.25; A.D. 2035-Nov-15 18:00:00.0000;0.292216808;-0.666223038;-0.026030972;0.018387171;0.008056352;-0.000949906
2464647.333; A.D. 2035-Nov-15 20:00:00.0000;0.293748293;-0.665549902;-0.026110061;0.018368443;0.008098918;-0.00094824
2464647.417; A.D. 2035-Nov-15 22:00:00.0000;0.295278213;-0.66487322;-0.026189012;0.018349616;0.00814144;-0.000946568
2464647.5; A.D. 2035-Nov-16 00:00:00.0000;0.296806559;-0.664192996;-0.026267823;0.018330692;0.008183919;-0.000944892
2464647.583; A.D. 2035-Nov-16 02:00:00.0000;0.298333325;-0.663509235;-0.026346493;0.018311671;0.008226353;-0.00094321
2464647.667; A.D. 2035-Nov-16 04:00:00.0000;0.299858502;-0.662821939;-0.026425024;0.018292553;0.008268742;-0.000941524
2464647.75; A.D. 2035-Nov-16 06:00:00.0000;0.301382081;-0.662131112;-0.026503414;0.018273337;0.008311087;-0.000939832
2464647.833; A.D. 2035-Nov-16 08:00:00.0000;0.302904055;-0.661436759;-0.026581663;0.018254024;0.008353387;-0.000938135
2464647.917; A.D. 2035-Nov-16 10:00:00.0000;0.304424416;-0.660738882;-0.02665977;0.018234615;0.008395643;-0.000936434
2464648; A.D. 2035-Nov-16 12:00:00.0000;0.305943155;-0.660037486;-0.026737735;0.018215108;0.008437852;-0.000934727
2464648.083; A.D. 2035-Nov-16 14:00:00.0000;0.307460265;-0.659332575;-0.026815557;0.018195505;0.008480017;-0.000933016
2464648.167; A.D. 2035-Nov-16 16:00:00.0000;0.308975737;-0.658624151;-0.026893237;0.018175805;0.008522135;-0.000931299
2464648.25; A.D. 2035-Nov-16 18:00:00.0000;0.310489563;-0.65791222;-0.026970774;0.018156009;0.008564208;-0.000929578
2464648.333; A.D. 2035-Nov-16 20:00:00.0000;0.312001735;-0.657196785;-0.027048167;0.018136116;0.008606234;-0.000927852
2464648.417; A.D. 2035-Nov-16 22:00:00.0000;0.313512246;-0.656477849;-0.027125416;0.018116126;0.008648214;-0.000926121
2464648.5; A.D. 2035-Nov-17 00:00:00.0000;0.315021087;-0.655755417;-0.02720252;0.018096041;0.008690148;-0.000924385
2464648.583; A.D. 2035-Nov-17 02:00:00.0000;0.31652825;-0.655029492;-0.02727948;0.018075859;0.008732034;-0.000922644
2464648.667; A.D. 2035-Nov-17 04:00:00.0000;0.318033728;-0.654300079;-0.027356294;0.018055582;0.008773874;-0.000920898
2464648.75; A.D. 2035-Nov-17 06:00:00.0000;0.319537511;-0.653567181;-0.027432962;0.018035208;0.008815666;-0.000919147
2464648.833; A.D. 2035-Nov-17 08:00:00.0000;0.321039593;-0.652830803;-0.027509485;0.018014739;0.008857411;-0.000917391
2464648.917; A.D. 2035-Nov-17 10:00:00.0000;0.322539965;-0.652090947;-0.027585861;0.017994174;0.008899109;-0.000915631
2464649; A.D. 2035-Nov-17 12:00:00.0000;0.324038619;-0.651347619;-0.02766209;0.017973513;0.008940758;-0.000913865
2464649.083; A.D. 2035-Nov-17 14:00:00.0000;0.325535548;-0.650600822;-0.027738172;0.017952757;0.008982359;-0.000912095
